a52dec 0.7.4-9
libsrtp 1:1.5.4-1
libssh 0.7.3-1
libssh2 1.7.0-2
libsystemd 231-4
libtar 1.2.20-2
libtasn1 4.9-2
libteam 1.23-1
libthai 0.1.25-1
libtheora 1.1.1-3
libtiff 4.0.6-2
libtiff4 3.9.7-1
libtiger 0.3.4-4
libtirpc 1.0.1-2
libtool 2.4.6-6
libtxc_dxtn 1.0.1-6
libudev0-shim 1-2
libunistring 0.9.6-2
libunwind 1.1-3
libupnp 1.6.20-1
libusb 1.0.20-1
libusb-compat 0.1.5-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.28.2-1
libva 1.7.2-1
libvdpau 1.1.1-2
libvisio 0.1.5-2
libvisual 0.4.0-6
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.6.0-2
libvpx1.3 1.3.0-1
libwacom 0.22-1
libwebp 0.5.1-1
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.4-1
libwrap 7.6.24-3
libx11 1.6.4-1
libx264 2:148.20160920-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxft 2.3.2-1
libxi 1.7.8-1
libxinerama 1.1.3-2
libxkbcommon 0.6.1-1
libxkbcommon-x11 0.6.1-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.4+4+g3169602-1
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.29-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
licenses 20140629-1
lightdm 1:1.18.3-1
lightdm-gtk-greeter 1:2.0.2-1
lightdm-gtk-greeter-settings 1.2.1-4
linux 4.8.4-1
linux-api-headers 4.7-1
linux-firmware 20161005.9c71af9-1
linux-headers 4.8.4-1
llvm-libs 3.9.0-1
llvm35-libs 3.5.2-3
logrotate 3.10.0-1
lpsolve 5.5.2.3-1
lua 5.3.3-1
lvm2 2.02.166-1
lxappearance 0.6.2-1
lz4 131-2
lzo 2.09-1
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.5-4
man-pages 4.08-1
mdadm 3.4-1
media-player-info 22-2
mesa 13.0.0rc2-2
mesa-libgl 13.0.0rc2-2
mime-types 9-1
mjpegtools 2.1.0-3
mkinitcpio 21-1
mkinitcpio-busybox 1.24.2-1
moka-icon-theme-git 498.50894ee-1
mono 4.6.1.3-1
mono-addins 1.1-1
mono-upnp 0.1.2-2
mono-zeroconf 0.9.0-4
mozilla-common 1.4-4
mpfr 3.1.5-1
mpg123 1.23.8-1
mtdev 1.1.5-1
musicbrainz 2.1.5-7
mutagen 1.34.1-1
nano 2.7.0-1
nautilus-sendto 3.8.4-2
ncurses 6.0-4
neon 0.30.2-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
npth 1.2-1
nspr 4.13.1-1
nss 3.27.1-1
ntfs-3g 2016.2.22-1
numlockx 1.2-3
openal 1.17.2-2
opencl-catalyst 13.1-7
opencore-amr 0.1.3-2
openjpeg 1.5.2-1
openjpeg2 2.1.2-1
openresolv 3.8.1-1
openssl 1.0.2.j-1
opus 1.1.3-2
orc 0.4.26-1
os-prober 1.71-1
oxygen-icons 1:5.27.0-1
p11-kit 0.23.2-1
pacaur 4.6.10-1
package-query 1.8-2
pacman 5.0.1-4
pacman-mirrorlist 20161013-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.3-1
pango-perl 1.227-2
pangomm 2.40.1-1
pantheon-backgrounds-bzr r53-1
parted 3.2-4
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.1-1
pcmciautils 018-7
pcre 8.39-1
perl 5.24.0-2
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-file-listing 6.04-2
perl-html-parser 3.72-2
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.11-2
perl-http-negotiate 6.01-2
perl-io-html 1.001-1
perl-io-socket-ssl 2.038-1
perl-io-string 1.08-9
perl-json 2.90-1
perl-libwww 6.15-1
perl-locale-gettext 1.07-2
perl-lwp-mediatypes 6.02-2
perl-lwp-protocol-https 6.06-2
perl-net-http 6.09-1
perl-net-ssleay 1.78-1
perl-test-pod 1.51-1
perl-text-csv 1.33-1
perl-timedate 2.30-2
perl-uri 1.71-1
perl-www-robotrules 6.02-2
perl-xml-parser 2.44-3
pinentry 0.9.7-3
pip 1.2-1
pixman 0.34.0-1
pkg-config 0.29.1-2
playerctl 0.5.0-1
polkit 0.113-4
poppler 0.47.0-1
popt 1.16-8
presentproto 1.0-1
procps-ng 3.3.12-1
psmisc 22.21-3
pulseaudio 9.0-1
pulseaudio-alsa 2-3
pygobject-devel 3.22.0-1
pyqt5-common 5.7-2
python 3.5.2-1
python-appdirs 1.4.0-4
python-beaker 1.8.1-1
python-cairo 1.10.0-6
python-cairocffi 0.7.2-2
python-cffi 1.8.3-1
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-docopt 0.6.2-3
python-gobject 3.22.0-1
python-mako 1.0.4-1
python-markupsafe 0.23-3
python-packaging 16.8-1
python-path 8.2.1-1
python-ply 3.9-1
python-pycparser 2.17-1
python-pyparsing 2.1.10-1
python-pyqt5 5.7-2
python-setuptools 1:28.7.1-1
python-sip 4.18.1-1
python-six 1.10.0-2
python-xcffib 0.4.2-1
python-yaml 3.12-1
python2 2.7.12-1
python2-appdirs 1.4.0-4
python2-cffi 1.8.3-1
python2-cryptography 1.5.2-1
python2-enum34 1.1.6-1
python2-idna 2.1-1
python2-ipaddress 1.0.17-1
python2-packaging 16.8-1
python2-paramiko 2.0.2-1
python2-ply 3.9-1
python2-pyasn1 0.1.9-1
python2-pycparser 2.17-1
python2-pyparsing 2.1.10-1
python2-setuptools 1:28.7.1-1
python2-six 1.10.0-2
qjson 0.8.1-5
qt4 4.8.7-10
qt5-base 5.7.0-3
randrproto 1.5.0-1
raptor 2.0.15-4
rasqal 1:0.9.33-1
readline 6.3.008-4
recordproto 1.14.2-2
redland 1:1.0.17-3
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
resourceproto 1.2.0-3
rofi 1.2.0-1
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-2
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.14-1
sbc 1.3-1
sbcl 1.3.6-2
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sdl 1.2.15-7
sdl2 2.0.5-2
sdl2_image 2.0.1-1
sdl2_mixer 2.0.1-1
sdl2_ttf 2.0.14-1
sdl_image 1.2.12-3
sdl_mixer 1.2.12-4
sdl_ttf 2.0.11-3
sed 4.2.2-4
serf 1.3.9-1
sg3_utils 1.42-1
shadow 4.4-2
shared-mime-info 1.7-1
sip 4.18.1-1
skype 4.3.0.37-8
slang 2.3.0-1
smpeg 0.4.5-2
smpeg2 1:2.0.0-2
sound-theme-freedesktop 0.8-2
soundtouch 1.9.2-1
source-highlight 3.1.8-10
spandsp 0.0.6-1
speex 1.2rc2-1
speexdsp 1.2rc3-2
sqlite 3.15.0-1
startup-notification 0.12-4
steam-native-runtime 1.0.0.52-8
subversion 1.9.4-1
sudo 1.8.18.p1-1
sysfsutils 2.1.0-9
systemd 231-4
systemd-sysvcompat 231-4
taglib 1.11.1-1
taglib-sharp 2.1.0.0-2
tar 1.29-1
tcptrack 1.4.3-1
tdb 1.3.11-1
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
tslib 1.1-1
ttf-dejavu 2.37-1
ttf-droid 20121017-4
ttf-freefont 20120503-4
ttf-liberation 2.00.1-6
ttf-ms-fonts 2.0-10
ttf-opensans 1.10-1
tzdata 2016h-1
udevil 0.4.4-1
udiskie 1.5.1-1
udisks2 2.1.7-1
unzip 6.0-12
usbutils 008-1
util-linux 2.28.2-1
v4l-utils 1.10.1-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.0046-4
vim-runtime 8.0.0046-4
vlc 2.2.4-4
vulkan-icd-loader 1.0.30.0-2
wavpack 4.80.0-1
wayland 1.12.0-1
wayland-protocols 1.7-1
wd719x-firmware 1-3
webkitgtk2 2.4.11-1
webrtc-audio-processing 0.3-1
wget 1.18-1
which 2.21-2
wildmidi 0.4.0-1
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-1
x265 2.1-2
xbitmaps 1.1.1-3
xcb-proto 1.12-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.0-3
xdg-utils 1.1.1-4
xextproto 7.3.0-1
xf86-input-evdev 2.10.4-1
xf86-input-joystick 1.6.2-6
xf86-input-keyboard 1.8.1-2
xf86-input-libinput 0.22.0-1
xf86-input-mouse 1.9.1-2
xf86-input-synaptics 1.8.99.1-1
xf86-input-vmmouse 13.1.0-2
xf86-input-void 1.4.1-2
xf86-video-amdgpu 1.1.2-1
xf86-video-ark 0.7.5-7
xf86-video-ati 1:7.7.1-1
xf86-video-dummy 0.3.7-5
xf86-video-fbdev 0.4.4-5
xf86-video-glint 1.2.8-7
xf86-video-i128 1.3.6-7
xf86-video-intel 1:2.99.917+722+g714052f-1
xf86-video-mach64 6.9.5-2
xf86-video-neomagic 1.2.9-2
xf86-video-nouveau 1.0.13-1
xf86-video-nv 2.1.20-7
xf86-video-openchrome 0.5.0-1
xf86-video-r128 6.10.1-1
xf86-video-savage 2.3.8-2
xf86-video-siliconmotion 1.7.8-2
xf86-video-sis 0.10.8-2
xf86-video-tdfx 1.4.5-7
